"","GeneID","TValue","PValue","PAdjust","MeanX","MeanY","modlogFC"
"MAGED2","MAGED2",-6.61619249201264,1.96377571953928e-06,0.053684718732905,8.474945,8.837728,0.958950648854547
"MAGT1","MAGT1",-6.30058631918122,8.26288077560016e-06,0.10621631525783,7.94450666666667,8.68788,0.91443558919629
"SEPTIN7","SEPTIN7",-5.92162559184733,8.69418089850981e-06,0.10621631525783,4.52795916666667,5.78524,0.782674386311833
"MRPL20","MRPL20",-5.68700133129903,1.54563930186391e-05,0.10621631525783,6.38977166666667,6.922614,0.923028738373491
"CD160","CD160",-5.57910389897334,1.85721243235376e-05,0.10621631525783,8.65968333333333,10.130067,0.854849561541235
"CSRNP3","CSRNP3",-6.16985696149529,1.85825755653663e-05,0.10621631525783,3.43666833333333,3.696535,0.929699930700868
"KHDC4","KHDC4",5.68452985385888,2.32441034709412e-05,0.10621631525783,5.05290666666667,4.834479,1.04518122152701
"WDR7","WDR7",-5.70806735427286,2.4159285625012e-05,0.10621631525783,8.80728583333333,9.172028,0.960233203968995
"CALM1","CALM1",-5.41855721859194,2.64966388105801e-05,0.10621631525783,11.116025,11.40371,0.974772683626644
"TSPOAP1","TSPOAP1",-5.53660798191435,2.81308541478212e-05,0.10621631525783,6.79030666666667,7.650459,0.887568532380432
"SH2B2","SH2B2",5.43591710757297,2.83168971030855e-05,0.10621631525783,8.20768833333333,7.880682,1.04149467436109
"DAG1","DAG1",-5.37785922969764,3.56006543947439e-05,0.10621631525783,8.40601083333333,8.77603,0.957837522585193
"PLXNA4","PLXNA4",-5.39272863027793,3.70028630275595e-05,0.10621631525783,5.61983666666667,6.116356,0.918821054017567
"KLRD1","KLRD1",-5.23684742245446,3.99716433824877e-05,0.10621631525783,7.0045475,7.946713,0.881439596472151
"HCST","HCST",-5.33392999573102,4.15184468114278e-05,0.10621631525783,11.64955,11.96044,0.974006809114046
"DCN","DCN",5.3954198028016,4.29493314241741e-05,0.10621631525783,5.33376083333333,4.886,1.09164159503343
"HOPX","HOPX",-5.24846350057569,4.77336241231132e-05,0.10621631525783,10.1045366666667,11.11837,0.908814571440478
"SH3BP5","SH3BP5",-5.2127845185805,5.13441419607194e-05,0.10621631525783,10.934925,11.27898,0.969495911864371
"ISCA2","ISCA2",-5.27868779989785,5.37109062154367e-05,0.10621631525783,9.26571916666667,9.575964,0.967601712649156
"CHST12","CHST12",-5.37900623098367,5.99254411100277e-05,0.10621631525783,8.808095,9.488199,0.928321064935506
"CEP78","CEP78",-5.03846219768936,6.2934247582545e-05,0.10621631525783,8.37439416666667,9.148214,0.915413015771895
"RUNX3","RUNX3",-5.12089253610322,6.36547671594028e-05,0.10621631525783,11.0808083333333,11.78724,0.940068101890971
"PNPLA6","PNPLA6",5.0678483245949,6.36617062586338e-05,0.10621631525783,8.41521833333333,8.154252,1.03200371209197
"DESI2","DESI2",-5.172289570585,6.38594085996864e-05,0.10621631525783,8.978615,9.286884,0.966805981424986
"SNX14","SNX14",-5.33625657645744,6.5845099330476e-05,0.10621631525783,5.18934833333333,5.637681,0.920475694409338
"ANP32A-IT1","ANP32A-IT1",5.23474666045326,6.6619114061019e-05,0.10621631525783,5.0690025,4.478611,1.13182468850275
"ID2","ID2",-5.17337149200173,6.70540089730419e-05,0.10621631525783,12.3114916666667,12.77788,0.963500335475577
"TOMM22","TOMM22",-4.97382340992627,7.30856998723601e-05,0.10621631525783,5.78351416666667,6.424353,0.900248502326486
"TMUB2","TMUB2",5.54654725576943,7.71689698289483e-05,0.10621631525783,8.4770875,8.282307,1.02351766240976
"NPC1","NPC1",-4.96467768814835,7.78375739160287e-05,0.10621631525783,8.89191416666667,9.614206,0.9248724404976
"HSPA5","HSPA5",-4.94478588485131,7.95370415293583e-05,0.10621631525783,7.30569166666667,7.697837,0.94905772448373
"GNLY","GNLY",-4.93521104271617,8.18942382432188e-05,0.10621631525783,11.7876583333333,12.98832,0.90755835499382
"ACRV1","ACRV1",4.94982775262951,8.46748734778862e-05,0.10621631525783,3.87331166666667,3.620963,1.06969103707126
"NCR3","NCR3",-4.91129234043467,9.02919331050132e-05,0.10621631525783,8.25712,8.96657,0.920878329171578
"CCL4","CCL4",-4.94607139398117,9.07811713946589e-05,0.10621631525783,10.1671625,11.43605,0.889044949960869
"ARL4C","ARL4C",-5.11601254677452,9.15457972058865e-05,0.10621631525783,11.9394,12.58087,0.949012270216607
"MYOZ3","MYOZ3",5.2145775681292,9.25736150233878e-05,0.10621631525783,6.24506333333333,5.836596,1.06998382847354
"ITGA7","ITGA7",4.87538733229587,9.25796984643224e-05,0.10621631525783,4.64024833333333,4.331368,1.07131241984826
"PEX10","PEX10",4.91628757071543,9.37426300889116e-05,0.10621631525783,5.41599333333333,4.978255,1.08793007456093
"XCL2","XCL2",-4.91143214906218,9.46366700178351e-05,0.10621631525783,8.51582,9.476912,0.898585952892672
"C16orf91","C16orf91",-4.95503836144858,9.74792881079695e-05,0.106593601546065,7.85277166666667,8.146701,0.963920446652782
"JRK","JRK",4.87321080954124,0.000104274004296074,0.110783044143511,7.45314916666667,7.249826,1.02804524779859
"LYAR","LYAR",-4.79611780363521,0.000111272020707888,0.114788636456675,8.08943916666667,8.568913,0.9440449642407
"SCARNA17","SCARNA17",-4.75841036845503,0.000124373943829974,0.11766291604139,7.05990083333333,7.829776,0.901673411006054
"TFDP2","TFDP2",-4.78077584733408,0.000127608026743513,0.11766291604139,8.61828583333333,9.13169,0.943777749062149
