"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","modlogFC"
"ILMN_3238319","BEND6",1.07635629279012,4.71750882352941,4.99564638110056,0.0000125043265108546,0.590604349760685,3.00864346080747,1.07635629279012
"ILMN_2269900","PACRG",1.06360634271951,4.70271764705882,4.49086472090069,0.0000608026435222818,0.957276819614805,1.650981807119,1.06360634271951
"ILMN_1813175","ADGRL1",1.08897113557925,4.77119705882353,4.2291425456859,0.000135902805126972,0.999946195569227,0.959852167208383,1.08897113557925
"ILMN_1703852","EFNB2",1.05093457408771,4.55281764705882,3.94425829553292,0.000320911283446118,0.999946195569227,0.222070886658826,1.05093457408771
"ILMN_1732154","BCAN",1.05492729412724,4.6726,3.84135533803153,0.000435572138234405,0.999946195569227,-0.0399117989978084,1.05492729412724
"ILMN_1716547","NAGK",1.22395516754595,8.50516470588235,3.8245005741779,0.000457798660383595,0.999946195569227,-0.0825683405495274,1.22395516754595
"ILMN_1790508","KCNA5",0.935710126224178,4.72712941176471,-3.79014727983269,0.000506551675000099,0.999946195569227,-0.16928009347003,0.935710126224178
"ILMN_1684166","MAFIP",0.942412587673208,4.70697941176471,-3.76939063814037,0.000538404831392468,0.999946195569227,-0.22151961109631,0.942412587673208
"ILMN_1667034","PDPR",1.21695129425187,6.85430882352941,3.75917415417347,0.000554786107159777,0.999946195569227,-0.247189135572465,1.21695129425187
"ILMN_3310080","MIR614",0.942542309539415,4.66181764705882,-3.75552731831646,0.000560749389222695,0.999946195569227,-0.256345110163873,0.942542309539415
"ILMN_1719531","EPHA6",1.05650843510348,4.59208529411765,3.74093197610696,0.000585241790624718,0.999946195569227,-0.292952404417086,1.05650843510348
"ILMN_1688573","CREB5",1.07101915725221,4.64551176470588,3.69260986387814,0.00067392744386688,0.999946195569227,-0.413725692821085,1.07101915725221
"ILMN_2269673","CDY1",1.05723210627139,4.65702352941176,3.67820485471085,0.000702784747080296,0.999946195569227,-0.449599760710957,1.05723210627139
"ILMN_2384770","EGFLAM",0.945367011894749,4.7025,-3.65968216003847,0.000741646343978314,0.999946195569227,-0.49563975114348,0.945367011894749
"ILMN_1779579","TUB",0.960794634809831,4.63115882352941,-3.65503812333918,0.000751709935035286,0.999946195569227,-0.507167175952498,0.960794634809831
"ILMN_3227119","SNAI3-AS1",1.06140902011061,4.71549117647059,3.63121374853738,0.000805441519881456,0.999946195569227,-0.56620339475911,1.06140902011061
"ILMN_2337492","RCE1",1.07452304827004,4.90682647058824,3.5603880598258,0.000987909878780384,0.999946195569227,-0.740690011452335,1.07452304827004
"ILMN_3309814","MIR208B",0.957155821378089,4.61385294117647,-3.54048938020239,0.0010459440545517,0.999946195569227,-0.789431229728973,0.957155821378089
"ILMN_1688811","SPRY4",0.933548207337025,4.75467352941176,-3.53982388252983,0.00104794047859795,0.999946195569227,-0.791059169911719,0.933548207337025
