"","GeneID","TValue","PValue","Coefficient","sig.cnt","GeneID","AlzheimersPValue","AsthmaPValue","CADPValue","CKDPValue","CLDPValue","COPDPValue","EthnicityPValue","HIVPValue","LupusPValue","ObesePValue","ONDPValue","RAPValue","T1DPValue","AlzheimersFC","AsthmaFC","CADFC","CKDFC","CLDFC","COPDFC","EthnicityFC","HIVFC","LupusFC","ObeseFC","ONDFC","RAFC","T1DFC","AdjP"
"6801","FBXW7",-4.23631001849266,0.00139751307433872,-0.787392069028174,5,"FBXW7",1,1,1,0.0000000000603281764462336,1,1,0.00315900757784483,0.00314558817490844,1,1,0.0347355178610855,0.00391627522790446,1,1,1,1,0.774043795762766,1,1,1.11531688018671,0.978602071004351,1,1,0.741118743866536,1.02484941202064,1,0.413720061603057
"13131","MBTD1",-5.07602814408629,0.00143738933933737,-0.886771851282602,5,"MBTD1",NA,1,1,0.0000000000187634303076015,0.000000190716103979382,1,NA,NA,NA,0.0221737515614974,0.0450028717845139,0.000110536808583922,1,NA,1,1,0.792071016887731,0.879495230114016,1,NA,NA,NA,0.98005232589351,0.912756382646923,1.03211703602658,1,0.413720061603057
"214","ACPP",-4.28387871271701,0.00160157469176252,-0.804541129772791,4,"ACPP",1,1,1,0.00000000467645885111024,1,NA,1,0.00153868612128437,1,1,0.015574410521987,0.00584959966984311,1,1,1,1,0.892057989593519,1,NA,1,0.984568428020621,1,1,0.903253796095445,1.0365581910666,1,0.413720061603057
"12790","LYRM1",-4.1471904964983,0.00162415473315322,-0.780972381004309,4,"LYRM1",1,1,1,0.000000000351726833471719,1,1,1,0.000638951320965091,1,1,0.0188945975412101,0.00000000000141352620250075,1,1,1,1,0.914015018982055,1,1,1,0.991849755946842,1,1,0.902384991517813,1.04180414228332,1,0.413720061603057
"18710","RFXAP",-4.14630887997764,0.00162657931707927,-0.780907606821081,7,"RFXAP",0.0445889609594753,1,1,0.000000000156827032480549,0.0240162482842778,1,1,0.0170783171986841,1,0.027077250149033,0.00164791213127198,0.0042289905553072,1,1.00344048465492,1,1,0.689209387407813,0.914553947884687,1,1,1.00329473728758,1,0.970891195169906,0.786388103275249,1.05489080718588,1,0.413720061603057
"6802","FBXW7",-4.11669503629149,0.00171025413676025,-0.778717106319996,5,"FBXW7",1,1,1,0.0000000000603281764462336,1,1,0.0215820989003386,0.00314558817490844,1,1,0.0347355178610855,0.00391627522790446,1,1,1,1,0.774043795762766,1,1,1.16490035939882,0.978602071004351,1,1,0.741118743866536,1.02484941202064,1,0.413720061603057
"24517","WWP1",-4.05743808928551,0.00189143730764138,-0.774246880703604,6,"WWP1",0.0000114093293138754,1,1,0.00000111047758297284,0.0236749057497079,1,1,0.0000000150508293957773,1,1,0.0310499898464054,0.00152934054375954,1,0.979214856403548,1,1,0.727959596654386,0.971705905737464,1,1,1.01592086380066,1,1,0.848099035151568,1.05104848569471,1,0.413720061603057
"1553","ATP5IF1",-4.05615940721559,0.00189556041846305,-0.774149120741516,8,"ATP5IF1",0.0000000713757950017287,1,1,0.00000000000000000000000301055401280625,0.000965580302350535,1,0.0240265930817503,0.00185595587867535,1,1,0.0393259997215148,0.00000505182318165354,0.0318445919599503,0.981073510056787,1,1,0.815931618197598,0.884143277701615,1,1.17331753580693,0.985524908414903,1,1,0.89820310402234,1.0307556729559,0.984128853923839,0.413720061603057
"17182","PLEKHM1",4.03325031430831,0.00197103763568851,0.772388210803734,5,"PLEKHM1",0.0000113853806683759,1,1,0.0000969439635518172,1,1,1,1,1,0.0268060153244475,0.0452386560118716,0.000434330680937002,1,1.01398824435995,1,1,1.08244299497235,1,1,1,1,1,1.01267210345696,1.08799532664784,0.982811502278791,1,0.413720061603057
"21491","SRP9",-4.03272544630734,0.00197280309309646,-0.772347656706428,6,"SRP9",0.000822909989923853,1,1,0.000000000409290228680401,0.00906309668842662,1,1,0.000000112073351664847,1,1,0.00571235535894278,0.0000916084862188192,1,0.977116160093017,1,1,0.799967727036985,1.02523040360171,1,1,0.983621053981952,1,1,0.907503272411877,1.03841860121025,1,0.413720061603057
"19068","RPAIN",-4.02920783051121,0.00198467756955852,-0.772075623045623,7,"RPAIN",0.00000000000138915944769254,1,1,0.0000000000000995653364492287,1,1,0.0282431122857352,0.00000161804486695167,1,1,0.0181269150155644,0.0004067707210516,0.0126993771242546,0.965104953480975,1,1,0.774591383667171,1,1,1.17086055945202,0.971839608967368,1,1,0.799212245994092,0.963308727252816,0.94557622302317,0.413720061603057
"23795","UBE2H",4.01465834545702,0.00203458800180119,0.770945920407736,6,"UBE2H",1,1,1,0.000000000000000000138388343907055,1,0.0173231224549076,1,0.000000306109823221726,1,0.0221865934521704,0.00308873017693443,0.000487170783451206,1,1,1,1,1.28246936503416,1,0.979479800314949,1,1.03476046023187,1,1.02470582654623,1.16430861665559,0.982446357891009,1,0.413720061603057
"13010","MAPK6",-4.01058800601679,0.00204878331868314,-0.770628567906985,4,"MAPK6",0.00359299372266334,1,1,0.00000307616088067789,1,1,1,1,1,1,0.0385436601247833,0.0000976972164885885,1,0.991254557072447,1,1,0.891245933504696,1,1,1,1,1,1,0.956541524459613,1.04724988912359,1,0.413720061603057
"5696","EBAG9",-4.00941092514288,0.00205290756429845,-0.770536687332678,6,"EBAG9",0.000000698237646672832,1,1,0.0000000000200815007160004,0.000452966721974319,1,1,0.0000224868375391369,1,1,0.0000505727949207962,0.0152182354360407,1,0.978255842655435,1,1,0.856011883500984,0.964273247172254,1,1,0.988323899688775,1,1,0.78769842914577,1.02222704574786,1,0.413720061603057
"10506","LEMD3",-4.00620988274599,0.00206416707694696,-0.770286577240339,5,"LEMD3",0.0463525213148388,1,1,0.00000254742911274928,1,1,1,0.04015936450453,1,1,0.0158987473342016,0.0000382024455363699,1,0.987078886286836,1,1,0.876412845065966,1,1,1,1.00902001886996,1,1,0.887111384573314,1.03945590837506,1,0.413720061603057
"12886","MAGEH1",-4.00417840852497,0.00207134598633572,-0.770127665523836,6,"MAGEH1",1,1,1,0.0000000000115735414136691,1,0.00293766648004035,1,0.00118163126553116,0.00146666643367063,1,0.0088921672613248,1,0.0248067463451297,1,1,1,0.878765664905263,1,0.97884900268255,1,0.989595193387006,1.06937182508627,1,0.834983110588926,1,0.963596797437325,0.413720061603057
"13049","MARCHF7",-3.99128708108273,0.00211751118484128,-0.769115892764219,6,"MARCHF7",1,1,1,0.000000036462956241054,0.0000084244161425693,1,1,0.0139794753848697,1,1,0.000393727014836699,0.000000924115620941608,0.0141611042546994,1,1,1,0.784616731751676,0.858889822861517,1,1,1.01120811758374,1,1,0.830257406951174,1.03557507853578,0.957106968264088,0.413720061603057
"19736","SELENOH",-4.09351315680949,0.00216695904161483,-0.791368389681409,6,"SELENOH",1,1,NA,0.000000000604493338885417,0.00182561944394777,0.00701150138460837,1,1,1,0.0484858858407837,0.029981469873699,0.000000527987168741037,1,1,1,NA,0.874282450401218,0.98325522389376,0.983691801622527,1,1,1,1.01533761735851,0.90774708830635,1.03895702739427,1,0.413720061603057
"7440","GAS5",-5.12127941636637,0.00217550508155176,-0.902121729249385,5,"GAS5",NA,1,NA,0.000000000000000145984967009051,1,0.00035325963349924,NA,NA,NA,1,0.0145129136653303,0.000034336585956174,0.000758727781302645,NA,1,NA,0.846796759894727,1,0.970258651363848,NA,NA,NA,1,0.795540749507161,1.07221449256937,0.932917425099658,0.413720061603057
"19093","RPL13",3.96319575537291,0.00222185241195898,0.76689095667548,6,"RPL13",1,0.0461979965923165,1,0.000000163019252756503,0.000487092818322182,0.000219881976191199,1,0.0000000000000000000000236621835521271,1,1,0.000410163403746089,1,1,1,0.994778377769903,1,1.0760479210471,1.02622425004602,0.994475899081268,1,1.08285643059814,1,1,1.14650089700903,1,1,0.413720061603057
"19498","SART1",3.92288327470777,0.00238100979678769,0.763649041219474,6,"SART1",0.0270360084060118,1,1,0.0000000000000000316211272668579,1,0.027993926502485,1,0.00535812400188926,1,1,0.0348843331560274,0.000022443321206404,1,1.00339364702378,1,1,1.22296538318791,1,0.990873439132587,1,1.00469921559985,1,1,1.16874873660805,0.978331132082539,1,0.413720061603057
"15107","NFU1",-3.91381659133525,0.00241840932597591,-0.762911842043059,6,"NFU1",0.0000000372198686978737,1,1,0.00000154297433705095,0.000434809072545578,1,1,0.00000527930003608184,1,1,0.0365905031437693,0.0000000176613638799818,1,0.978861580922252,1,1,0.866712588291633,1.04337274417724,1,1,0.983949002940026,1,1,0.885484781381616,1.07246142679011,1,0.413720061603057
"18304","RAB7A",-3.90732521038588,0.00244556003496639,-0.762382202357428,5,"RAB7A",1,1,1,0.00000000000000000000931785397585996,1,1,1,0.000000560433469134463,1,1,0.043350742719908,0.00173725824999104,0.0392461818637946,1,1,1,0.856443620270768,1,1,1,0.973016178307534,1,1,0.842413987591653,1.01313515299767,1.01562477354876,0.413720061603057
"8743","HNRNPH3",-3.89486370877958,0.00249857128275517,-0.761361143049413,8,"HNRNPH3",0.0432525157770204,1,1,0.000000000591257671504332,0.000132346951040711,1,0.0204458064778203,0.00000000000387342589770088,1,0.0240172940184646,0.000294545222292625,0.00016230880184795,1,0.989729625376709,1,1,0.81999661067471,0.950033760702532,1,1.14570060038539,1.01599380092384,1,0.991996796524307,0.756607177623467,1.03487215088433,1,0.413720061603057
"5089","DENND4A",-3.87862295400237,0.00256945424602563,-0.760021866930256,5,"DENND4A",1,1,1,0.0000000862795964943305,1,1,1,0.00000087723780254542,0.00247183411753575,1,0.00288719138469766,0.00952619686634747,1,1,1,1,0.66642802815779,1,1,1,1.02547259919231,1.06838115109184,1,0.830362840394747,1.04138218652044,1,0.413720061603057
"13453","MINDY3",-3.97325041858106,0.00262948948376416,-0.782434325728023,7,"MINDY3",0.0433827913476469,1,1,0.00000214665267762708,0.00379732534053222,NA,0.0490742466869659,0.000000242704702736296,1,1,0.0172146498721673,0.000000386517486148113,1,0.993876362539642,1,1,0.863666273495279,0.953412831457217,NA,1.09409716072197,1.0242352974961,1,1,0.84178376372024,1.07130959384584,1,0.413720061603057
"4640","CUTC",-3.86503178460531,0.00263037487601553,-0.758893592954251,7,"CUTC",0.00000010476176673056,1,1,0.000000259567783503641,0.000015008756852521,1,0.0141527226653057,0.000614363194254077,1,1,0.00787170762088272,0.0000000304843583109062,1,0.979511666899678,1,1,0.907925458463706,0.90478521651044,1,1.14127874786845,0.982156170457558,1,1,0.880197965356063,1.04396702433306,1,0.413720061603057
"9579","ITIH3",3.97256067745678,0.0026324228218015,0.782381643852569,5,"ITIH3",1,1,1,0.0000287642166035907,0.0317375597985131,NA,1,0.000378941530646701,1,1,0.023789420751653,0.0479979820168986,1,1,1,1,1.0794409097219,1.0325648248959,NA,1,1.00785949112827,1,1,1.02669404517454,0.977760746492982,1,0.413720061603057
"19069","RPAIN",-3.85149722005618,0.00269253102738768,-0.757763185234341,7,"RPAIN",0.00000000000138915944769254,1,1,0.0000000000000995653364492287,1,1,0.00378867206137091,0.00000161804486695167,1,1,0.0181269150155644,0.0004067707210516,0.0126993771242546,0.965104953480975,1,1,0.774591383667171,1,1,1.19866093750541,0.971839608967368,1,1,0.799212245994092,0.963308727252816,0.94557622302317,0.413720061603057
"19724","SEC62",-3.8388948299862,0.00275177511290783,-0.756704462908896,5,"SEC62",1,1,1,0.000000240728912858317,0.000000000760226540266547,1,1,1,1,0.0101052048486806,0.000585873038877677,0.000000200885025099078,1,1,1,1,0.795684244124657,0.83591161541412,1,1,1,1,1.01385997997229,0.833436503136599,1.06343979362712,1,0.413720061603057
"6800","FBXW7",-3.83777880797407,0.00275708624231237,-0.756610418249904,4,"FBXW7",1,1,1,0.0000000000603281764462336,1,1,1,0.00314558817490844,1,1,0.0347355178610855,0.00391627522790446,1,1,1,1,0.774043795762766,1,1,1,0.978602071004351,1,1,0.741118743866536,1.02484941202064,1,0.413720061603057
"6428","FAM149B1",-4.06650751971163,0.0028143428707521,-0.804713031313575,5,"FAM149B1",NA,1,1,0.00000763749054035367,0.00769335421070137,NA,1,0.0328341346214526,1,1,0.000857748036751874,0.000045706172045216,1,NA,1,1,0.920682534931426,0.92156973725256,NA,1,0.991057359686125,1,1,0.904786375858978,1.04913601371611,1,0.413720061603057
"2181","C11orf95",3.90861268278286,0.00291985441079419,0.777423560828858,4,"C11orf95",1,1,1,0.000181602791055427,1,NA,1,0.00447176621972764,1,1,0.0206497736169578,0.000601130922687967,1,1,1,1,1.05130376890279,1,NA,1,1.00577884531314,1,1,1.06179401993355,0.972943002990248,1,0.413720061603057
"14520","MTO1",-3.80059523540971,0.00294024962789523,-0.753450027302836,6,"MTO1",0.00440870069946044,1,1,0.000000000000000547708299319306,0.0154819412687259,1,1,1,1,0.0162321828731317,0.0451429165469462,1,0.0306101553408608,0.990269803626182,1,1,0.798912736121777,0.960758021730373,1,1,1,1,0.974590368774056,0.761769911504425,1,0.975424646438054,0.413720061603057
"25050","ZNF33A",-3.89157013491263,0.00300187683375774,-0.776077210467264,6,"ZNF33A",0.0109786416841607,1,NA,0.0000000000989320161737915,0.00439150902733937,1,1,0.0038249774846174,1,1,0.0393627478847851,0.00054016985341381,1,0.994858529634731,1,NA,0.870533883049409,0.938545567989091,1,1,1.00522006407837,1,1,0.88000103347156,1.02252601621311,1,0.413720061603057
"24413","WDR74",3.76895766595164,0.00310599947997544,0.750719241999519,5,"WDR74",1,1,1,0.00000000239803821520261,1,0.000789468114110178,1,0.000000000865017678409536,1,1,0.00321933260123302,0.0069966565610352,1,1,1,1,1.13276673527105,1,0.981187518959428,1,1.03258188571349,1,1,1.18498608565805,0.986760039903831,1,0.413720061603057
"25025","ZNF302",-3.75546059116926,0.00317962441149156,-0.749542403591353,6,"ZNF302",0.0000000848674633891236,1,1,0.00122939450010402,1,0.0133587638682378,1,1,0.0376636788808116,1,0.01133322187232,0.0000143347259778727,1,0.970068591298131,1,1,0.910856308277234,1,0.973276332877807,1,1,1.05538649566607,1,0.809180164287878,1.11739118499883,1,0.413720061603057
"14160","MOAP1",-3.75306722085349,0.003192867172098,-0.749332975539417,4,"MOAP1",1,1,1,0.0000000000000000670489606781134,1,1,1,0.00983037964206995,1,0.0161266100944132,0.0265160285554532,1,1,1,1,1,0.837838661377585,1,1,1,0.987130017342563,1,0.974199829376752,0.872830665264856,1,1,0.413720061603057
"8433","HBP1",-3.73661765874787,0.003285440416674,-0.747887479104178,8,"HBP1",0.0318008650471099,1,0.0286518089422335,0.000908148888266896,0.0303461505691837,1,0.0234139038931652,1,1,1,0.00531280026739371,0.000000209943665201606,0.0403001265400088,0.993307981997067,1,1.16454798848965,0.866668847665693,0.904184662559756,1,1.10154950511392,1,1,1,0.848598018069654,1.02895697329202,0.928888470258515,0.413720061603057
"17613","PPWD1",-3.73519138978196,0.00329359662672266,-0.747761642783666,5,"PPWD1",0.0000000260241076713587,1,1,0.0000000000446252727841455,1,1,1,0.00000000710589050862289,1,1,0.0368673533315965,0.0114968059155724,1,0.980250138393767,1,1,0.76510757317242,1,1,1,1.02213809210976,1,1,0.802716755675173,1.03327312342288,1,0.413720061603057
"15448","NRIP1",-3.73386311028935,0.00330121129349457,-0.747644379334193,4,"NRIP1",1,1,1,0.000000013757722358303,0.00525546436614968,1,1,1,1,1,0.0103871370611192,0.0102393810860947,1,1,1,1,0.80791981128276,0.94734459509047,1,1,1,1,1,0.747402474792613,1.02712424743761,1,0.413720061603057
"17938","PSMA2",-3.73048328147177,0.00332066907579305,-0.74734568492299,5,"PSMA2",0.00000000768109336646889,1,1,0.00288906752884093,0.00062071383397515,1,1,1,1,1,0.00394508712738805,0.00000000000783166370578398,1,0.977665019954572,1,1,0.923948929789137,0.928775412171655,1,1,1,1,1,0.879988836560265,1.08936484221989,1,0.413720061603057
"12704","LSM14A",-3.72999040651741,0.0033235164566379,-0.747302088906531,5,"LSM14A",0.0000047317971697327,1,1,0.0000000541584009227796,1,1,1,0.000683999309653325,1,1,0.00236428495213594,1,0.0166685949696621,0.980063276846534,1,1,0.877458030809915,1,1,1,0.989704713228475,1,1,0.825512758117222,1,0.984159630866073,0.413720061603057
"23138","TPD52",-3.72860155568442,0.00333155354335643,-0.747179189664754,5,"TPD52",0.00219943530920979,1,1,0.00000000128315013873349,1,1,0.0313728942364837,1,0.0100601611742625,1,0.000711873389202539,1,1,0.992487185506216,1,1,0.80039842788212,1,1,1.24121486470763,1,1.07509616707459,1,0.700267800882168,1,1,0.413720061603057
"19528","SC5D",-3.71818184380533,0.00339249496964209,-0.746254700969292,6,"SC5D",0.00885263075570137,1,1,0.00142702754834669,0.000226471150247119,1,1,0.000294470961725638,1,1,0.00757640552017411,0.000000596926627567621,1,0.992084086007142,1,1,0.911407787460714,0.904841925510757,1,1,0.980782650055312,1,1,0.837497113830524,1.0942992716655,1,0.413720061603057
"19080","RPGR",-3.69884801602827,0.00350864079206179,-0.744527797580716,6,"RPGR",0.000300266338349991,1,1,0.000166919511240151,1,0.0162911960785815,1,0.00000871731673525087,1,1,0.0406805226979626,0.000373554100727349,1,0.99404812122937,1,1,0.877701688787903,1,1.02556418497999,1,1.01365076258213,1,1,0.871769868356899,1.06922018591846,1,0.413720061603057
"23673","TUBE1",-3.7852732711081,0.00357094627555563,-0.767434665568957,6,"TUBE1",1,1,NA,0.0000000089613437262318,0.00000285205646485248,0.0164695675239164,1,0.0000000312780336023926,1,1,0.0150011374347122,0.0113657265075111,1,1,1,NA,0.698825045480383,0.83789576244656,0.970415145716599,1,1.01066427616847,1,1,0.760758457833579,1.05480095191986,1,0.413720061603057
"19152","RPL38",3.68317521563857,0.00360580241387749,0.743116840502966,5,"RPL38",1,1,1,0.000000000000000117656510549452,0.000000348524211133604,0.00167228256813441,1,0.0000010078794070551,1,1,0.00221509196461011,1,1,1,1,1,1.12886682792195,1.03771713814929,0.997410248014598,1,0.996079007227202,1,1,1.13760025288474,1,1,0.413720061603057
"13242","MED30",-3.75070482705615,0.00377943567803081,-0.764530490670383,7,"MED30",0.0134778677813351,1,NA,0.0000000000044761407442116,0.000809671088372837,1,1,0.00281656424787363,1,1,0.0000422128613646516,0.000000000000160695002855571,0.0117257627362562,0.991626220161021,1,NA,0.878202976136644,0.883900355582748,1,1,0.988040648802068,1,1,0.808610642295322,1.05468942304248,0.967634047764733,0.413720061603057
"25003","ZNF277",-3.65219307984532,0.00380612567235297,-0.740298206635402,5,"ZNF277",0.00117670643507953,1,1,0.0000304345309225699,0.000656579912435138,1,1,1,1,1,0.0145626918734199,0.00000000713976124341125,1,0.986286547075988,1,1,0.834445581097757,1.04437774462686,1,1,1,1,1,0.882124910265614,1.10110619402641,1,0.413720061603057
"5704","EBLN3P",-4.56806189685273,0.00381828034335613,-0.881294096087499,5,"EBLN3P",NA,1,NA,0.00000000000090085093332865,0.0120289882728372,1,NA,NA,NA,0.0312346629655603,0.000639748920177898,0.000779571444500869,1,NA,1,NA,0.744940745392434,0.964551099813895,1,NA,NA,NA,0.966720492076911,0.810160188908035,0.980717415035676,1,0.413720061603057
"2168","C11orf54",-3.7432887608939,0.00382579521893877,-0.763901314093344,6,"C11orf54",1,1,NA,0.00000000294657942493167,0.000570535547172762,1,1,0.0137519203921044,1,0.039934058431927,0.00602794009592368,0.0000000108737085155575,1,1,1,NA,0.886097580631521,0.941451332950061,1,1,0.99216523097611,1,0.972717238580388,0.843620606644198,1.07198987012333,1,0.413720061603057
"14939","NDUFA5",-3.73117283985641,0.00390281466254973,-0.76286869669893,5,"NDUFA5",NA,1,1,0.00000299803171415333,0.0217624447579549,1,1,0.0000859956482019107,1,1,0.000680923063680549,0.00000402934080260916,1,NA,1,1,0.871104248823787,0.974356254654643,1,1,1.00803942832091,1,1,0.820510498613391,1.1316443265318,1,0.413720061603057
"7840","GOLGA8A",-4.22570550909767,0.00390886656138081,-0.84757566485523,7,"GOLGA8A",NA,0.029505811547046,1,0.000000000000348737038759754,0.00458833226965598,0.00445090985193069,NA,NA,NA,0.0154725310050791,0.00775787303697844,0.000000698395474661043,1,NA,0.984930485679764,1,0.78316328320129,0.897800345037332,0.961552057392948,NA,NA,NA,0.964924516254216,0.710646911878715,0.955265450856219,1,0.413720061603057
"17993","PSMG1",-3.62947080674098,0.00396031117557013,-0.738205892485207,5,"PSMG1",0.0000123115010727715,1,1,0.000000423896229460255,1,1,1,0.0000000179344241635458,1,1,0.010526508815852,0.000188413066718898,1,0.989079351285593,1,1,0.866680777208337,1,1,1,1.02232086340446,1,1,0.866955013073333,1.04964193758946,1,0.413720061603057
"25181","ZNF529",-3.62438170469978,0.00399571772048981,-0.73773433534031,5,"ZNF529",0.0402005283408021,1,1,0.000000000000000014584755176379,1,0.00866391987915657,1,1,1,0.0471165507891352,0.0161278264148527,1,1,0.993629737138754,1,1,0.735936634275192,1,0.973024513760463,1,1,1,0.97847927135946,0.775598474904682,1,1,0.413720061603057
"23794","UBE2H",3.62270051842216,0.00400748580994237,0.737578318601808,7,"UBE2H",1,1,1,0.000000000000000000138388343907055,1,0.0173231224549076,0.000919184696111459,0.000000306109823221726,1,0.0221865934521704,0.00308873017693443,0.000487170783451206,1,1,1,1,1.28246936503416,1,0.979479800314949,0.717256639896934,1.03476046023187,1,1.02470582654623,1.16430861665559,0.982446357891009,1,0.413720061603057
"789","AMY1A",-3.70221405555116,0.00409352220847356,-0.760376739219027,4,"AMY1A",NA,1,1,0.000000000000101333490207438,0.0000475244846033032,1,1,0.00463528761966502,1,1,0.0105825880741007,1,1,NA,1,1,0.757207009414956,0.757189979254814,1,1,0.995386066994205,1,1,0.73521007692958,1,1,0.413720061603057
"19483","SAP18",-3.60438912462969,0.00413799929358078,-0.735871316485225,7,"SAP18",0.0000708441917021965,0.0476071612462374,1,0.000000571894020697763,0.00000610238175642456,1,1,0.0000128998514992809,1,1,0.0113831266904011,0.00455596701777221,1,0.991094065264435,0.994782342959621,1,0.90479804530614,1.02969634311023,1,1,0.97184611256456,1,1,0.87213215678227,1.02000962066585,1,0.413720061603057
"1138","ARFGAP2",3.60226465250487,0.00415342214799449,0.735672358086863,5,"ARFGAP2",1,1,1,0.0000000000000200426542425573,1,0.0184544980770631,1,0.00528404343971906,1,1,0.0262070015863658,0.0000170807933591486,1,1,1,1,1.20469353187646,1,0.988050555797543,1,0.99099807063061,1,1,1.12893682139474,0.982908698501844,1,0.413720061603057
"24746","ZCCHC2",-3.60134432485764,0.00416012173443714,-0.735586109557356,5,"ZCCHC2",1,1,1,0.0000106866770653493,0.00655826745617282,1,1,0.0000000000000298502170600003,1,1,0.00728013898496057,0.00865140125046948,1,1,1,1,0.87532695432065,0.906322119628,1,1,1.01535385329404,1,1,0.85035765379113,1.05782873760145,1,0.413720061603057
"290","ACYP2",-3.59626730649765,0.00419728071537263,-0.735109673004997,5,"ACYP2",1,1,1,0.0000113833289607703,1,1,1,0.0000000493298287473258,0.0308657128602406,1,1,0.0000141332356902865,0.0160388881173888,1,1,1,0.915065816705861,1,1,1,0.98585684978826,1.04388815276958,1,1,1.03601738698394,0.965934434270182,0.413720061603057
"8519","HELQ",-3.66506472837186,0.00435248094387569,-0.757130057733595,7,"HELQ",0.00733180598869247,1,NA,0.0000000000433974530319409,0.000023645984834611,0.0397180135208338,1,0.00400381093001953,1,1,0.0323917065176767,0.0000126021935550982,1,0.992613195378193,1,NA,0.824346205597548,0.895987786991362,0.983591086528807,1,1.0081468723702,1,1,0.910008451044307,1.05394510681933,1,0.413720061603057
