,GeneID,TValue,PValue,Coefficient,sig.cnt,GeneID,AlzheimersPValue,AsthmaPValue,CADPValue,CKDPValue,CLDPValue,COPDPValue,EthnicityPValue,HIVPValue,HypPValue,LupusPValue,ObesePValue,ONDPValue,RAPValue,T2DPValue,AlzheimersFC,AsthmaFC,CADFC,CKDFC,CLDFC,COPDFC,EthnicityFC,HIVFC,HypFC,LupusFC,ObeseFC,ONDFC,RAFC,T2DFC,AdjP
8295,GOLGA8A,-4.549461767,0.001875703,-0.849253241,7,GOLGA8A,NA,0.029505812,1,3.48737E-13,0.004588332,0.00445091,NA,NA,1,NA,0.015472531,0.007757873,6.98395E-07,1,NA,0.984930486,1,0.783163283,0.897800345,0.961552057,NA,NA,1,NA,0.964924516,0.710646912,0.955265451,1,0.399260802
19779,RNF138,-3.95992648,0.001893576,-0.752655251,5,RNF138,1,1,1,1.40614E-08,3.37938E-06,1,1,1,0.047492022,1,1,0.010283421,0.000293869,1,1,1,1,0.734194695,0.911010568,1,1,1,1.387676175,1,1,0.778761995,1.066557784,1,0.399260802
1628,ATP5IF1,-4.056159407,0.00189556,-0.774149121,8,ATP5IF1,7.13758E-08,1,1,3.01055E-24,0.00096558,1,0.024026593,0.001855956,NA,1,1,0.039326,5.05182E-06,0.031844592,0.98107351,1,1,0.815931618,0.884143278,1,1.173317536,0.985524908,NA,1,1,0.898203104,1.030755673,0.984128854,0.399260802
13595,MAGEH1,-3.926201383,0.002012439,-0.74985621,6,MAGEH1,1,1,1,1.15735E-11,1,0.002937666,1,0.001181631,1,0.001466666,1,0.008892167,1,0.024806746,1,1,1,0.878765665,1,0.978849003,1,0.989595193,1,1.069371825,1,0.834983111,1,0.963596797,0.399260802
22395,SRP9,-3.916233213,0.002049024,-0.749021101,6,SRP9,0.00082291,1,1,4.0929E-10,0.009063097,1,1,1.12073E-07,1,1,1,0.005712355,9.16085E-05,1,0.97711616,1,1,0.799967727,1.025230404,1,1,0.983621054,1,1,1,0.907503272,1.038418601,1,0.399260802
19926,RPAIN,-3.903570348,0.00209649,-0.747955064,7,RPAIN,1.38916E-12,1,1,9.95653E-14,1,1,0.028243112,1.61804E-06,1,1,1,0.018126915,0.000406771,0.012699377,0.965104953,1,1,0.774591384,1,1,1.170860559,0.971839609,1,1,1,0.799212246,0.963308727,0.945576223,0.399260802
13758,MARCHF7,-3.991287081,0.002117511,-0.769115893,6,MARCHF7,1,1,1,3.6463E-08,8.42442E-06,1,1,0.013979475,NA,1,1,0.000393727,9.24116E-07,0.014161104,1,1,1,0.784616732,0.858889823,1,1,1.011208118,NA,1,1,0.830257407,1.035575079,0.957106968,0.399260802
11146,LEMD3,-3.887934754,0.002156664,-0.746630732,5,LEMD3,0.046352521,1,1,2.54743E-06,1,1,1,0.040159365,1,1,1,0.015898747,3.82024E-05,1,0.987078886,1,1,0.876412845,1,1,1,1.009020019,1,1,1,0.887111385,1.039455908,1,0.399260802
20602,SELENOH,-4.093513157,0.002166959,-0.79136839,6,SELENOH,1,1,NA,6.04493E-10,0.001825619,0.007011501,1,1,NA,1,0.048485886,0.02998147,5.27987E-07,1,1,1,NA,0.87428245,0.983255224,0.983691802,1,1,NA,1,1.015337617,0.907747088,1.038957027,1,0.399260802
7878,GAS5,-5.121279416,0.002175505,-0.902121729,5,GAS5,NA,1,NA,1.45985E-16,1,0.00035326,NA,NA,NA,NA,1,0.014512914,3.43366E-05,0.000758728,NA,1,NA,0.84679676,1,0.970258651,NA,NA,NA,NA,1,0.79554075,1.072214493,0.932917425,0.399260802
7228,FBXW7,-3.87740073,0.002198205,-0.745733467,5,FBXW7,1,1,1,6.03282E-11,1,1,0.021582099,0.003145588,1,1,1,0.034735518,0.003916275,1,1,1,1,0.774043796,1,1,1.164900359,0.978602071,1,1,1,0.741118744,1.024849412,1,0.399260802
15255,MTO1,-3.875879496,0.002204272,-0.745603556,6,MTO1,0.004408701,1,1,5.47708E-16,0.015481941,1,1,1,1,1,0.016232183,0.045142917,1,0.030610155,0.990269804,1,1,0.798912736,0.960758022,1,1,1,1,1,0.974590369,0.761769912,1,0.975424646,0.399260802
6787,FAM149B1,-4.082128591,0.002206833,-0.790543683,5,FAM149B1,NA,1,1,7.63749E-06,0.007693354,NA,1,0.032834135,1,1,1,0.000857748,4.57062E-05,1,NA,1,1,0.920682535,0.921569737,NA,1,0.99105736,1,1,1,0.904786376,1.049136014,1,0.399260802
19146,RAB7A,-3.871483226,0.002221901,-0.745227641,5,RAB7A,1,1,1,9.31785E-21,1,1,1,5.60433E-07,1,1,1,0.043350743,0.001737258,0.039246182,1,1,1,0.85644362,1,1,1,0.973016178,1,1,1,0.842413988,1.013135153,1.015624774,0.399260802
20361,SART1,3.862688461,0.002257605,0.744473483,6,SART1,0.027036008,1,1,3.16211E-17,1,0.027993927,1,0.005358124,1,1,1,0.034884333,2.24433E-05,1,1.003393647,1,1,1.222965383,1,0.990873439,1,1.004699216,1,1,1,1.168748737,0.978331132,1,0.399260802
10165,ITIH3,3.930672827,0.002349358,0.764280022,5,ITIH3,1,1,1,2.87642E-05,0.03173756,NA,1,0.000378942,1,1,1,0.023789421,0.047997982,1,1,1,1,1.07944091,1.032564825,NA,1,1.007859491,1,1,1,1.026694045,0.977760746,1,0.399260802
20590,SEC62,-3.828116564,0.002403776,-0.741481082,5,SEC62,1,1,1,2.40729E-07,7.60227E-10,1,1,1,1,1,0.010105205,0.000585873,2.00885E-07,1,1,1,1,0.795684244,0.835911615,1,1,1,1,1,1.01385998,0.833436503,1.063439794,1,0.399260802
7226,FBXW7,-3.812310673,0.002473812,-0.740098074,4,FBXW7,1,1,1,6.03282E-11,1,1,1,0.003145588,1,1,1,0.034735518,0.003916275,1,1,1,1,0.774043796,1,1,1,0.978602071,1,1,1,0.741118744,1.024849412,1,0.399260802
13719,MAPK6,-3.811874964,0.002475772,-0.740059816,4,MAPK6,0.003592994,1,1,3.07616E-06,1,1,1,1,1,1,1,0.03854366,9.76972E-05,1,0.991254557,1,1,0.891245934,1,1,1,1,1,1,1,0.956541524,1.047249889,1,0.399260802
14893,MOAP1,-3.792174469,0.002566083,-0.738322462,4,MOAP1,1,1,1,6.7049E-17,1,1,1,0.00983038,1,1,0.01612661,0.026516029,1,1,1,1,1,0.837838661,1,1,1,0.987130017,1,1,0.974199829,0.872830665,1,1,0.399260802
14182,MINDY3,-3.973250419,0.002629489,-0.782434326,7,MINDY3,0.043382791,1,1,2.14665E-06,0.003797325,NA,0.049074247,2.42705E-07,NA,1,1,0.01721465,3.86517E-07,1,0.993876363,1,1,0.863666273,0.953412831,NA,1.094097161,1.024235297,NA,1,1,0.841783764,1.071309594,1,0.399260802
13409,LSM14A,-3.777227896,0.002636854,-0.736994465,5,LSM14A,4.7318E-06,1,1,5.41584E-08,1,1,1,0.000683999,1,1,1,0.002364285,1,0.016668595,0.980063277,1,1,0.877458031,1,1,1,0.989704713,1,1,1,0.825512758,1,0.984159631,0.399260802
839,AMY1A,-3.848475763,0.002706613,-0.757509897,4,AMY1A,NA,1,1,1.01333E-13,4.75245E-05,1,1,0.004635288,1,1,1,0.010582588,1,1,NA,1,1,0.757207009,0.757189979,1,1,0.995386067,1,1,1,0.735210077,1,1,0.399260802
25405,WDR74,3.745849985,0.002792018,0.734178536,5,WDR74,1,1,1,2.39804E-09,1,0.000789468,1,8.65018E-10,1,1,1,0.003219333,0.006996657,1,1,1,1,1.132766735,1,0.981187519,1,1.032581886,1,1,1,1.184986086,0.98676004,1,0.399260802
16215,NRIP1,-3.738242217,0.00283103,-0.733490033,4,NRIP1,1,1,1,1.37577E-08,0.005255464,1,1,1,1,1,1,0.010387137,0.010239381,1,1,1,1,0.807919811,0.947344595,1,1,1,1,1,1,0.747402475,1.027124247,1,0.399260802
24637,TUBE1,-3.813447877,0.002875554,-0.754548385,6,TUBE1,1,1,NA,8.96134E-09,2.85206E-06,0.016469568,1,3.1278E-08,1,1,1,0.015001137,0.011365727,1,1,1,NA,0.698825045,0.837895762,0.970415146,1,1.010664276,1,1,1,0.760758458,1.054800952,1,0.399260802
10735,KLK4,3.912587167,0.002901066,0.777736015,5,KLK4,1,1,NA,1.95903E-14,0.023712587,NA,1,1,1,1,1,0.01846384,0.012827875,0.001443044,1,1,NA,1.131801153,1.057200971,NA,1,1,1,1,1,1.136369637,0.986645476,1.057027181,0.399260802
15865,NFU1,-3.720824518,0.002922465,-0.731905189,6,NFU1,3.72199E-08,1,1,1.54297E-06,0.000434809,1,1,5.2793E-06,1,1,1,0.036590503,1.76614E-08,1,0.978861581,1,1,0.866712588,1.043372744,1,1,0.983949003,1,1,1,0.885484781,1.072461427,1,0.399260802
5409,DENND4A,-3.719767149,0.002928113,-0.731808594,5,DENND4A,1,1,1,8.62796E-08,1,1,1,8.77238E-07,1,0.002471834,1,0.002887191,0.009526197,1,1,1,1,0.666428028,1,1,1,1.025472599,1,1.068381151,1,0.83036284,1.041382187,1,0.399260802
20011,RPL38,3.719740499,0.002928255,0.731806159,5,RPL38,1,1,1,1.17657E-16,3.48524E-07,0.001672283,1,1.00788E-06,1,1,1,0.002215092,1,1,1,1,1,1.128866828,1.037717138,0.997410248,1,0.996079007,1,1,1,1.137600253,1,1,0.399260802
19925,RPAIN,-3.717366493,0.002940976,-0.731589121,7,RPAIN,1.38916E-12,1,1,9.95653E-14,1,1,0.003788672,1.61804E-06,1,1,1,0.018126915,0.000406771,0.012699377,0.965104953,1,1,0.774591384,1,1,1.198660938,0.971839609,1,1,1,0.799212246,0.963308727,0.945576223,0.399260802
