"","GeneID","TValue","PValue","PAdjust","MeanX","MeanY","modlogFC"
"RPL13","RPL13",11.0932839139042,2.36621835521271e-23,4.85506854866079e-20,7.76875265184574,7.17431455576667,1.08285643059814
"NCOR1P1","NCOR1P1",11.1139016723784,2.79999489217421e-23,5.29370514169319e-20,8.22298156826596,7.71961783841667,1.06520578354855
"GPR137","GPR137",-11.0449271059434,3.02229481777562e-23,5.4856975784795e-20,9.7115206645266,10.1242357623167,0.959234938075402
"ADD3","ADD3",11.063521931182,7.56993958029111e-23,1.23186409887275e-19,8.51276916945213,7.93940952088333,1.07221691324281
"IDS","IDS",10.8563601171041,1.64700272342299e-22,2.50726943625089e-19,8.41694740340957,7.61980929685,1.10461391821041
"SKIV2L","SKIV2L",-10.7866922217113,1.8582153271014e-22,2.7404030536428e-19,9.09076354511702,9.49362390246667,0.957565165685048
"VPS16","VPS16",-10.801778331695,2.47364222948034e-22,3.47324975883348e-19,10.0248734747606,10.3790950856,0.9658716287
"PNPLA6","PNPLA6",-10.8535135709713,2.50234132480798e-22,3.47324975883348e-19,10.4310617315904,10.863902192,0.960157919984928
"RPL21","RPL21",10.7318009394281,2.73701698708989e-22,3.69043730442132e-19,8.62539131140957,7.92280847305,1.0886785084796
"DGAT1","DGAT1",-10.774556883123,3.35247756534483e-22,4.39472559065981e-19,8.79758443231915,9.20685509768333,0.955547180766735
"NDUFS7","NDUFS7",-10.6707047784143,5.08475120789759e-22,6.31472576323955e-19,10.6553950353883,10.9596630666667,0.972237464835595
"TRMT61A","TRMT61A",-10.9725540281723,5.29364402487251e-22,6.40558073902009e-19,7.48223227734043,7.75303652308333,0.96507120211073
"RPL7L1","RPL7L1",10.7192149296548,6.9743043389591e-22,8.22828425910394e-19,7.50601464382979,7.18992114571667,1.04396341652529
"KCNJ4","KCNJ4",-11.4076816613332,8.049402969788e-22,9.04446249881513e-19,7.1410633422234,7.41183322551667,0.963467893157514
"MIB2","MIB2",-10.8612313043365,8.27031591480913e-22,9.0765755500389e-19,8.16264156981383,8.5002698849,0.960280282901848
"PRPF40A","PRPF40A",10.912265763264,1.11557340716172e-21,1.19650318706308e-18,7.91588223011702,7.40077602335,1.06960164787339
"PFKL","PFKL",-10.5262268028702,1.35901010541618e-21,1.42520899766223e-18,9.17716268994681,9.6031411708,0.955641755830014
"CDC37","CDC37",-10.6061708973639,1.62650572360101e-21,1.66865343713432e-18,12.4400807744681,12.6646612135,0.982267157782908
"PAFAH1B3","PAFAH1B3",-10.7860079994034,1.67603019370696e-21,1.68287695534934e-18,8.84078813921809,9.22502121073333,0.958348814302108
"PTGES3L-AARSD1","PTGES3L-AARSD1",-10.7747449582381,1.97505178938674e-21,1.918530485639e-18,8.01947815993617,8.28380322905,0.968091338989453
"ATP6AP1","ATP6AP1",-10.5471272478153,1.99203241643311e-21,1.918530485639e-18,12.0771719343085,12.3769982733333,0.975775520655052
"MED24","MED24",-10.5842196185081,2.80036246070444e-21,2.64309410491128e-18,7.8288989752766,8.1718795392,0.958029170366726
