"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","modlogFC"
"ILMN_1783795","BTNL3",8.95673299627157,4.11569327980556,48.942461577542,0.000000000000000000000000000000001370947559557,0.0000000000000000000000000000499011013704673,65.5316135619509,8.95673299627157
"ILMN_2236625","UTS2",15.7635332217422,4.44650234711111,47.9110779043057,0.0000000000000000000000000000000028390406904436,0.0000000000000000000000000000499011013704673,64.8852822029472,15.7635332217422
"ILMN_1742442","SIRPB1",9.56932554877768,4.16153846188889,47.8026707877186,0.00000000000000000000000000000000306750208207286,0.0000000000000000000000000000499011013704673,64.8163479664284,9.56932554877768
"ILMN_1671818","UTS2",18.6233200338422,4.64719228819444,34.1114507026041,0.000000000000000000000000000290438295842495,0.00000000000000000000000354356503800032,54.2262957997692,18.6233200338422
"ILMN_2086222","WDR11",0.0983671159520966,6.02892120672222,-29.3364537467086,0.0000000000000000000000000456550229091143,0.000000000000000000000445620416606701,49.3639584334177,0.0983671159520966
"ILMN_1732198","UTS2",17.6548062193162,4.70173500097222,28.8503995449726,0.000000000000000000000000079692769780352,0.000000000000000000000648207707265087,48.8231642795876,17.6548062193162
"ILMN_2184884","SAXO2",3.75338550520017,3.79897621377778,21.74612695258,0.000000000000000000000868165074516947,0.00000000000000000605272287595008,39.6814875312292,3.75338550520017
"ILMN_1778010","IL32",0.260102136198763,7.78168808666667,-19.0772733795697,0.0000000000000000000577956645628565,0.000000000000000352575227207636,35.4974097766651,0.260102136198763
"ILMN_2058782","IFI27",0.0826623606413551,7.44395630825,-18.4247245871983,0.000000000000000000173847288681912,0.000000000000000942696581060374,34.3957175805927,0.0826623606413551
"ILMN_1808824","NEBL",5.18383004327371,4.06383732027778,17.2327769770634,0.0000000000000000014147976796737,0.00000000000000690463711611154,32.2943296481947,5.18383004327371
"ILMN_1782704","CD19",2.44245097549057,8.72321845230556,16.6258672105172,0.00000000000000000430369321723579,0.0000000000000190939218255235,31.1773704871261,2.44245097549057
"ILMN_1743145","ERAP2",0.15099449994302,9.25735318238889,-15.3118077710928,0.000000000000000053566360236004,0.000000000000201092236815208,28.6415941523534,0.15099449994302
"ILMN_1691071","FCRLA",2.54044420478126,8.75326344027778,15.1600941405075,0.0000000000000000724218968366226,0.000000000000237048217448233,28.3379473094723,2.54044420478126
"ILMN_1794707","PGGHG",0.34178438130769,9.86348144683333,-15.1570806246941,0.0000000000000000728587025740936,0.000000000000237048217448233,28.3318922755779,0.34178438130769
"ILMN_1695187","GYPE",0.248436430873907,9.90761564997222,-15.09222964051,0.0000000000000000829422528093721,0.000000000000252989422740987,28.2013633706932,0.248436430873907
"ILMN_1699829","CCN2",4.06365571661164,3.91994394083333,13.669869687232,0.00000000000000158627368454933,0.00000000000455381850747416,25.2267743396083,4.06365571661164
"ILMN_1748434","LOC283683",4.23050370030292,4.27874966513889,13.5310499258876,0.00000000000000214024087192353,0.000000000005680666055591,24.9245730848383,4.23050370030292
"ILMN_1736453","RCVRN",1.97541122636114,3.58537751647222,13.5073923891436,0.0000000000000022528053998438,0.000000000005680666055591,24.8728538100835,1.97541122636114
"ILMN_1713458","HBZ",0.0242251885726717,7.44429019533333,-13.4922538350931,0.00000000000000232799871138701,0.000000000005680666055591,24.8397249342799,0.0242251885726717
"ILMN_2368530","IL32",0.294735826047464,9.63374454991667,-13.4679046517984,0.00000000000000245437259901392,0.00000000000570384504522269,24.7863848019686,0.294735826047464
"ILMN_1791329","FCRL2",2.09623841339196,8.06175010972222,13.4043520534925,0.00000000000000281835947490275,0.00000000000625201806607631,24.646844563803,2.09623841339196
"ILMN_1710017","CD79B",2.26506032563276,8.46455718097222,13.0139756040087,0.00000000000000665614917460375,0.0000000000135350020070078,23.7794607629619,2.26506032563276
